,Optimal lambda MSE,Min test MSE,Optimal lambda R2,Max test R2
1,0.0025118864315095794,0.042941902801376095,0.0025118864315095794,0.7799782220526165
2,1e-05,0.03887130562664837,1e-05,0.7971794829266262
3,1e-05,0.016070749453049094,1e-05,0.9153380718609597
4,1e-05,0.011724426670940051,1e-05,0.9344739313691937
5,1e-05,0.012292720238676487,1e-05,0.9296806188720975
