,Optimal lambda MSE,Min test MSE,Optimal lambda R2,Max test R2
1,0.4641588833612782,35995.37599547639,0.4641588833612782,0.5409590459708771
2,0.1519911082952933,31089.619235515045,0.1519911082952933,0.615532758254608
3,0.0001873817422860383,29846.73856409952,0.0001873817422860383,0.6398421884341203
4,1e-05,29402.605852136097,1e-05,0.6329985121278008
5,1e-05,30127.178382438513,1e-05,0.6260543237512564
