,Optimal lambda MSE,Min test MSE,Optimal lambda R2,Max test R2
1,1e-05,36113.85703927764,1e-05,0.5501973829047638
2,1e-05,31212.71518676298,1e-05,0.6259286169136176
3,1e-05,31815.613744830287,1e-05,0.587593576764257
4,1e-05,33111.99034153202,1e-05,0.5876897994283325
5,1e-05,31217.435865304888,1e-05,0.6051961002109747
